state_code,state,state_name,language,speakers,state_population,share_pct,share_label,national_rank,national_total,source_table,source_url
5,WA,Western Australia,Spanish,12958,2660026,0.487,0.5%,9,171378,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
5,WA,Western Australia,Nepali,5038,2660026,0.189,0.2%,10,133078,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Mandarin,32133,1781516,1.804,1.8%,1,685268,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Arabic,11033,1781516,0.619,0.6%,2,367154,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Vietnamese,21855,1781516,1.227,1.2%,3,320760,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Cantonese,10166,1781516,0.571,0.6%,4,295292,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Punjabi,20004,1781516,1.123,1.1%,5,239041,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Greek,21882,1781516,1.228,1.2%,6,229643,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Italian,23828,1781516,1.338,1.3%,7,228046,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Hindi,9884,1781516,0.555,0.6%,8,197132,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Spanish,7273,1781516,0.408,0.4%,9,171378,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
4,SA,South Australia,Nepali,9671,1781516,0.543,0.5%,10,133078,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
6,TAS,Tasmania,Mandarin,8129,557571,1.458,1.5%,1,685268,2021 Census G13C/G13D/G13E (STE),https://www.abs.gov.au/census/find-census-data/datapacks
